deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\drone\all\sound_07_60996bb473	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_07	1.0
zs\drone\all\sound_08_aa0a29cda0	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_08	1.0
zs\drone\all\sound_09_dec9d70508	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_09	1.0
zs\drone\all\sound_10_b689e92fd1	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_10	1.0
zs\drone\all\sound_01_54752e5582	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_01	2.097
zs\drone\all\sound_02_339e01e19d	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_02	2.136
zs\drone\all\sound_03_51fb8f769a	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_03	1.636
zs\drone\all\sound_03_33b864a0c4	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_03	2.271
zs\drone\all\sound_04_de452fc1b0	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_04	2.033
zs\drone\all\sound_04_929a2b44bd	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_04	1.403
zs\drone\all\sound_05_5cdab4ddf5	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_05	1.773
zs\drone\all\sound_05_a90c830358	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_05	2.029
zs\drone\all\sound_06_3ee76d35a8	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_06	2.89
zs\drone\all\sound_07_8a821e0cd0	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_07	1.103
zs\drone\all\sound_08_59793561c9	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_08	1.0
zs\drone\all\sound_09_85384fe160	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_09	1.0
zs\drone\all\sound_10_eb9392c31a	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_10	1.0
zs\drone\all\sound_10_bf63d20ac2	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_10	1.717
zs\drone\all\sound_11_9fcc75759c	drone	RETUNE457	ambient/soundscape/underground/spooks_below/drone	sound_11	1.872
zs\drone\all\sound_11_611439329e	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_11	1.131
zs\drone\all\sound_07_b9e2c31f68	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_07	2.208
zs\drone\all\sound_08_6357d138e1	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_08	1.488
zs\drone\all\sound_09_869c04a1f8	drone	RETUNE457	ambient/trx/spooks_below/drone	sound_09	1.965
zs\drone\all\s_01_bb64f7e336	drone	myRETUNE	ambient/trx/spooks_above/drone	s_01	2.0
zs\drone\all\s_02_53a7f66e52	drone	myRETUNE	ambient/trx/spooks_above/drone	s_02	2.0
zs\drone\all\s_03_eb629050c5	drone	myRETUNE	ambient/trx/spooks_above/drone	s_03	2.0
